date,apuestas deportivas-Amazonas,isPartial,apuestas deportivas-Apurímac,apuestas deportivas-Arequipa,apuestas deportivas-Ayacucho,apuestas deportivas-Cajamarca,apuestas deportivas-Callao,apuestas deportivas-Cuzco,apuestas deportivas-Departamento de Lima,apuestas deportivas-Huancavelica,apuestas deportivas-Huánuco,apuestas deportivas-Ica,apuestas deportivas-Junín,apuestas deportivas-La Libertad,apuestas deportivas-Lambayeque,apuestas deportivas-Loreto,apuestas deportivas-Madre de Dios,apuestas deportivas-Moquegua,apuestas deportivas-Pasco,apuestas deportivas-Piura,apuestas deportivas-Puno,apuestas deportivas-San Martín,apuestas deportivas-Tacna,apuestas deportivas-Tumbes,apuestas deportivas-Ucayali,apuestas deportivas-Áncash
2021-11-21,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-28,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-05,0,False,0,52,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-26,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-02,0,False,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-09,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2022-01-16,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-23,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-30,0,False,0,0,0,0,51,0,0,0,0,0,0,45,0,0,0,0,0,0,0,79,0,0,86,0
2022-02-06,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0
2022-02-13,0,False,0,0,0,0,0,0,0,0,0,0,65,44,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-20,0,False,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-27,0,False,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06,0,False,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-13,0,False,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,67,0,0,0,0,0
2022-03-20,0,False,0,41,0,38,53,0,0,0,0,31,0,40,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-27,0,False,0,33,0,36,0,0,0,0,48,0,43,42,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-03,0,False,0,0,0,34,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-10,0,False,0,0,0,43,0,0,0,0,0,29,0,34,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-17,0,False,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,33,0,48,0,0,0,0
2022-04-24,0,False,0,0,0,0,0,30,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,31
2022-05-01,0,False,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,41,0,0,0,42
2022-05-08,0,False,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,33
2022-05-15,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-22,0,False,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-29,0,False,0,0,89,0,0,0,0,0,0,0,0,31,0,0,0,0,0,47,0,0,0,0,0,0
2022-06-05,0,False,0,33,0,51,0,0,0,0,0,0,53,38,0,0,0,0,0,55,0,0,0,0,0,0
2022-06-12,0,False,0,55,0,47,35,0,0,0,0,36,0,34,0,0,0,0,0,56,0,0,0,0,0,0
2022-06-19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-26,0,False,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-03,0,False,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-10,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-17,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-24,0,False,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-31,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-07,0,False,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
2022-08-14,0,False,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,84,0
2022-08-21,0,False,0,0,0,44,30,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,0,False,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-04,0,False,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,100,0
2022-09-11,0,False,0,0,0,0,29,0,0,0,0,0,0,28,52,0,0,0,0,0,0,0,0,0,0,0
2022-09-18,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-25,0,False,0,0,0,0,26,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-02,0,False,0,0,0,0,37,0,47,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-09,0,False,0,0,0,0,0,0,0,0,0,0,0,44,51,0,0,0,0,0,0,0,0,0,0,0
2022-10-16,0,False,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-23,0,False,0,0,0,42,28,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-30,0,False,0,0,0,0,29,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-06,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-13,0,False,0,0,0,0,31,0,0,0,0,0,0,29,48,0,0,0,0,0,0,0,0,0,0,0
2022-11-20,0,False,0,89,0,78,100,57,72,0,44,29,67,62,77,0,0,0,0,85,62,47,0,0,0,73
2022-11-27,0,False,0,100,0,92,77,35,52,0,59,46,59,98,100,73,0,0,0,76,0,75,0,0,66,61
2022-12-04,0,False,0,69,0,100,71,0,97,0,43,0,94,100,73,0,0,0,0,99,67,45,0,0,0,78
2022-12-11,0,False,0,56,0,0,40,0,0,0,0,0,58,61,62,0,0,0,0,76,0,0,0,0,0,48
2022-12-18,0,False,0,37,0,65,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0
2022-12-25,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,0,False,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-08,0,False,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-15,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-22,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-29,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-05,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0
2023-02-19,0,False,0,80,0,0,45,0,0,0,0,0,0,31,59,0,0,0,0,0,0,0,0,0,0,0
2023-02-26,0,False,0,0,0,49,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-05,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-12,0,False,0,0,0,0,38,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
2023-03-19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
2023-03-26,0,False,0,0,0,0,31,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,44
2023-04-02,0,False,0,0,0,0,27,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,80,47
2023-04-09,0,False,0,0,0,0,26,0,0,0,0,0,0,25,0,0,0,0,0,37,0,0,0,0,0,0
2023-04-16,0,False,0,0,0,38,34,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-23,0,False,0,0,0,0,18,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-30,0,False,0,0,0,0,25,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-07,0,False,0,0,0,0,21,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-14,0,False,0,0,0,0,21,0,0,0,0,0,0,41,0,0,0,0,0,38,0,0,0,0,0,0
2023-05-21,0,False,0,0,0,0,29,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-28,0,False,0,0,0,0,28,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-04,0,False,0,0,0,0,22,0,0,0,0,0,0,34,42,0,0,0,0,47,0,0,0,0,0,0
2023-06-11,0,False,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-18,0,False,0,0,0,0,33,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-25,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-02,0,False,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-09,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-16,0,False,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-23,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-30,0,False,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-13,0,False,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-20,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-27,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-03,0,False,0,0,0,63,41,0,0,0,0,0,0,27,44,100,0,0,0,0,0,0,0,0,0,0
2023-09-10,0,False,0,33,0,43,41,0,0,0,0,0,0,28,56,0,0,0,0,0,0,0,0,0,0,0
2023-09-17,0,False,0,0,0,0,24,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,72
2023-09-24,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,0,False,0,0,0,0,21,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-08,0,False,0,39,0,56,28,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,46
2023-10-15,0,False,0,0,100,43,34,0,0,0,0,0,0,39,49,0,0,0,0,0,0,0,0,0,0,0
2023-10-22,0,False,0,0,0,0,31,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-29,0,False,0,0,0,0,24,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,54
2023-11-05,0,False,0,0,0,0,37,0,0,0,0,0,50,35,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-12,0,False,0,0,0,0,22,0,0,0,0,0,0,29,0,82,0,0,0,0,0,0,0,0,0,0
2023-11-19,0,False,0,0,0,0,25,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-26,0,False,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-03,0,False,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-10,0,False,0,0,0,0,0,0,0,97,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-17,0,False,0,40,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,47
2023-12-24,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-31,0,False,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-07,0,False,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-14,0,False,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-21,0,False,0,0,0,0,41,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-28,0,False,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-04,0,False,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-11,0,False,0,0,0,0,36,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-18,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-25,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-03,69,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2024-03-10,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-17,71,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-24,0,False,0,0,0,0,0,0,0,0,0,0,0,32,72,0,0,0,0,0,0,0,0,0,0,0
2024-03-31,0,False,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-07,0,False,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,43,0,0,0,0,0,0
2024-04-14,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-21,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-28,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-05,0,False,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-19,0,False,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0
2024-05-26,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-02,0,False,0,2,0,2,2,0,3,0,0,2,0,3,3,0,0,0,0,3,0,0,0,0,0,2
2024-06-09,3,False,9,14,13,13,12,4,12,7,7,8,9,12,19,15,0,0,0,14,5,7,43,84,3,10
2024-06-16,3,True,9,29,20,25,20,10,23,5,11,17,23,24,37,19,100,100,100,29,18,16,100,100,5,18
